,docId,annotSet,annotType,startOffset,endOffset,annotId,text,other
19,S0921818113002245-1571,8,MeasuredProperty,1035,1039,T3-8,long,"{""HasQuantity"": ""T1-8""}"
20,S0921818113002245-1571,8,MeasuredEntity,1040,1046,T4-8,drives,"{""HasProperty"": ""T3-8""}"
21,S0921818113002245-1571,9,Quantity,1103,1123,T1-9,approximately 11.8 m,"{""unit"": ""m""}"
22,S0921818113002245-1571,9,MeasuredProperty,1094,1099,T4-9,depth,"{""HasQuantity"": ""T1-9""}"
23,S0921818113002245-1571,9,MeasuredEntity,1081,1090,T3-9,sediments,"{""HasProperty"": ""T4-9""}"
24,S0921818113002245-1571,10,Quantity,1224,1249,T1-10,between 11.8 m and 11.5 m,"{""mods"": [""IsRange""], ""unit"": ""m""}"
25,S0921818113002245-1571,10,MeasuredProperty,1218,1223,T4-10,depth,"{""HasQuantity"": ""T1-10""}"
26,S0921818113002245-1571,10,MeasuredEntity,1209,1217,T3-10,sediment,"{""HasProperty"": ""T4-10""}"
0,S0167880913001229-1225,1,Quantity,226,232,T1-1,< 0.01,"{""mods"": [""IsRange""]}"
1,S0167880913001229-1225,1,MeasuredProperty,224,225,T2-1,p,"{""HasQuantity"": ""T1-1""}"
2,S0167880913001229-1225,1,MeasuredEntity,198,203,T3-1,ANOVA,"{""HasProperty"": ""T2-1""}"
3,S0167880913001229-1225,2,Quantity,288,295,T1-2,0–10 cm,"{""unit"": ""cm""}"
4,S0167880913001229-1225,2,MeasuredProperty,296,301,T3-2,depth,"{""HasQuantity"": ""T1-2""}"
5,S0167880913001229-1225,2,MeasuredEntity,275,284,T2-2,SOC stock,"{""HasProperty"": ""T3-2""}"
6,S0167880913001229-1225,3,Quantity,302,317,T1-3,over the 9-year,"{""mods"": [""IsRange""], ""unit"": ""year""}"
7,S0167880913001229-1225,3,MeasuredProperty,318,324,T3-3,period,"{""HasQuantity"": ""T1-3""}"
8,S0167880913001229-1225,3,MeasuredEntity,265,284,T2-3,change in SOC stock,"{""HasProperty"": ""T3-3""}"
9,S0167880913001229-1225,4,Quantity,446,452,T1-4,< 0.01,"{""mods"": [""IsRange""]}"
10,S0167880913001229-1225,4,MeasuredProperty,444,445,T2-4,p,"{""HasQuantity"": ""T1-4""}"
11,S0167880913001229-1225,4,MeasuredEntity,454,487,T3-4,effect of initial C concentration,"{""HasProperty"": ""T2-4""}"
12,S0167880913001229-1225,5,Quantity,495,503,T1-5,20–40 cm,
13,S0167880913001229-1225,5,MeasuredProperty,504,509,T2-5,depth,"{""HasQuantity"": ""T1-5""}"
14,S0167880913001229-1225,5,MeasuredEntity,275,284,T3-5,SOC stock,"{""HasProperty"": ""T2-5""}"
0,S0378383912000130-1054,1,Quantity,135,141,T1-1,8.5 mm,"{""unit"": ""mm""}"
1,S0378383912000130-1054,1,MeasuredEntity,142,147,T2-1,beach,"{""HasQuantity"": ""T1-1""}"
0,S0167577X13006393-787,1,Quantity,118,122,T1-1,1.37,
1,S0167577X13006393-787,1,MeasuredProperty,112,117,T2-1,ratio,"{""HasQuantity"": ""T1-1""}"
2,S0167577X13006393-787,1,MeasuredEntity,107,111,T3-1,Ca/P,"{""HasProperty"": ""T2-1""}"
3,S0167577X13006393-787,2,Quantity,176,190,T1-2,before 1200 °C,"{""unit"": ""°C""}"
4,S0167577X13006393-787,2,MeasuredProperty,169,175,T3-2,occurs,"{""HasQuantity"": ""T1-2""}"
5,S0167577X13006393-787,2,MeasuredEntity,152,168,T2-2,HA decomposition,"{""HasProperty"": ""T3-2""}"
6,S0167577X13006393-787,3,Quantity,278,282,T1-3,1.67,
7,S0167577X13006393-787,3,MeasuredProperty,272,277,T2-3,ratio,"{""HasQuantity"": ""T1-3""}"
8,S0167577X13006393-787,3,MeasuredEntity,197,270,T3-3,deficient HA start their decomposition at temperatures lower than pure HA,"{""HasProperty"": ""T2-3""}"
0,S095741741101342X-2624,1,Quantity,86,89,T1-1,85%,"{""unit"": ""%""}"
1,S095741741101342X-2624,1,MeasuredProperty,90,94,T3-1,good,"{""HasQuantity"": ""T1-1""}"
2,S095741741101342X-2624,1,MeasuredEntity,68,79,T4-1,classifiers,"{""HasProperty"": ""T3-1""}"
3,S095741741101342X-2624,2,Quantity,96,99,T1-2,15%,"{""unit"": ""%""}"
4,S095741741101342X-2624,2,MeasuredProperty,100,109,T3-2,bad class,"{""HasQuantity"": ""T1-2""}"
5,S095741741101342X-2624,2,MeasuredEntity,68,79,T4-2,classifiers,"{""HasProperty"": ""T3-2""}"
0,S0038071713001971-1427,1,Quantity,100,109,T1-1,two years,"{""unit"": ""years""}"
1,S0038071713001971-1427,1,MeasuredEntity,76,89,T3-1,yield records,"{""HasQuantity"": ""T1-1""}"
0,S2213671113000921-714,1,Quantity,84,90,T1-1,100 μm,"{""unit"": ""μm""}"
1,S2213671113000921-714,1,MeasuredEntity,63,72,T3-1,scale bar,"{""HasQuantity"": ""T1-1""}"
0,S0168945213001805-4454,1,Quantity,346,356,T1-1,eight-year,"{""unit"": ""year""}"
1,S0168945213001805-4454,1,MeasuredEntity,357,362,T2-1,study,"{""HasQuantity"": ""T1-1""}"
2,S0168945213001805-4454,2,Quantity,450,456,T1-2,42–48%,"{""mods"": [""IsRange""], ""unit"": ""%""}"
3,S0168945213001805-4454,2,MeasuredProperty,418,446,T3-2,increased net photosynthesis,"{""HasQuantity"": ""T1-2""}"
4,S0168945213001805-4454,2,MeasuredEntity,368,384,T6-2,deciduous forest,"{""HasProperty"": ""T3-2""}"
5,S0168945213001805-4454,2,Qualifier,400,417,T2-2,carbon-enrichment,"{""Qualifies"": ""T3-2""}"
6,S0168945213001805-4454,2,Qualifier,457,477,T5-2,relative to controls,"{""Qualifies"": ""T1-2""}"
7,S0168945213001805-4454,3,Quantity,578,584,T1-3,15–27%,"{""mods"": [""IsRange""], ""unit"": ""%""}"
8,S0168945213001805-4454,3,MeasuredProperty,551,574,T2-3,increased biomass yield,"{""HasQuantity"": ""T1-3""}"
9,S0168945213001805-4454,3,MeasuredEntity,495,550,T5-3,free-air enrichment by supplementary CO2 in field plots,"{""HasProperty"": ""T2-3""}"
0,S0019103512004009-5271,1,Quantity,160,171,T1-1,below 3.5Rp,"{""mods"": [""IsRange""], ""unit"": ""Rp""}"
1,S0019103512004009-5271,1,MeasuredEntity,78,149,T4-1,collisions with neutral H dominate the transport of heavy neutral atoms,"{""HasQuantity"": ""T1-1""}"
2,S0019103512004009-5271,2,Quantity,294,308,T1-2,6 × 106 kg s−1,"{""unit"": ""kg s−1""}"
3,S0019103512004009-5271,2,MeasuredProperty,282,290,T4-2,oss rate,"{""HasQuantity"": ""T1-2""}"
4,S0019103512004009-5271,2,MeasuredEntity,276,280,T3-2,mass,"{""HasProperty"": ""T4-2""}"
5,S0019103512004009-5271,3,Quantity,464,473,T1-3,>107kgs-1,"{""mods"": [""IsRange""], ""unit"": ""kgs-1""}"
6,S0019103512004009-5271,3,MeasuredProperty,462,464,T2-3,Ṁ,"{""HasQuantity"": ""T1-3""}"
7,S0019103512004009-5271,3,MeasuredEntity,452,458,T4-3,models,"{""HasProperty"": ""T2-3""}"
8,S0019103512004009-5271,3,Qualifier,430,444,T3-3,mass loss rate,"{""Qualifies"": ""T2-3""}"
9,S0019103512004009-5271,4,Quantity,643,649,T1-4,≳ 10−4,"{""mods"": [""IsRange"", ""IsApproximate""]}"
10,S0019103512004009-5271,4,MeasuredProperty,628,633,T3-4,ratio,"{""HasQuantity"": ""T1-4""}"
11,S0019103512004009-5271,4,MeasuredEntity,634,642,T2-4,[H+]/[H],"{""HasProperty"": ""T3-4""}"
0,S0006322312001096-1278,1,Quantity,449,451,T2-1,65,"{""mods"": [""IsRange""]}"
1,S0006322312001096-1278,1,MeasuredProperty,442,445,T3-1,age,"{""HasQuantity"": ""T2-1""}"
2,S0006322312001096-1278,1,MeasuredEntity,411,430,T1-1,depressive symptoms,"{""HasProperty"": ""T3-1""}"
3,S0006322312001096-1278,1,Qualifier,431,437,T4-1,before,"{""Qualifies"": ""T2-1""}"
4,S0006322312001096-1278,1,Qualifier,373,405,T5-1,stroke risk score was associated,"{""Qualifies"": ""T1-1""}"
5,S0006322312001096-1278,2,Quantity,635,643,T11-2,65 years,"{""mods"": [""IsRange""], ""unit"": ""years""}"
6,S0006322312001096-1278,2,MeasuredEntity,598,617,T4-2,depressive symptoms,"{""HasQuantity"": ""T11-2""}"
7,S0006322312001096-1278,2,Qualifier,462,594,T5-2,little evidence to suggest that standard clinical information on preclinical vascular risk status would be helpful in the prediction,"{""Qualifies"": ""T4-2""}"
0,S1873506113001116-1204,1,Quantity,391,410,T1-1,at least 3 passages,"{""mods"": [""IsRange""], ""unit"": ""passages""}"
1,S1873506113001116-1204,1,MeasuredProperty,323,360,T4-1,cultured on E8 feeder-free conditions,"{""HasQuantity"": ""T1-1""}"
2,S1873506113001116-1204,1,MeasuredEntity,313,322,T2-1,BC1 cells,"{""HasProperty"": ""T4-1""}"
3,S1873506113001116-1204,2,Quantity,591,602,T1-2,within 24 h,"{""mods"": [""IsRange""], ""unit"": ""h""}"
4,S1873506113001116-1204,2,MeasuredProperty,541,590,T4-2,survived and formed convex dish-shaped aggregates,"{""HasQuantity"": ""T1-2""}"
5,S1873506113001116-1204,2,MeasuredEntity,535,540,T3-2,cells,"{""HasProperty"": ""T4-2""}"
6,S1873506113001116-1204,3,Quantity,827,853,T1-3,3.7 ± 0.9 fold per passage,"{""mods"": [""IsMeanHasTolerance""], ""unit"": ""fold per passage""}"
7,S1873506113001116-1204,3,MeasuredProperty,819,823,T4-3,rate,"{""HasQuantity"": ""T1-3""}"
8,S1873506113001116-1204,3,MeasuredEntity,750,759,T5-3,BC1 cells,"{""HasProperty"": ""T4-3""}"
9,S1873506113001116-1204,3,Qualifier,811,818,T2-3,average,"{""Qualifies"": ""T1-3""}"
10,S1873506113001116-1204,3,Qualifier,760,768,T6-3,expanded,"{""Qualifies"": ""T4-3""}"
11,S1873506113001116-1204,4,Quantity,855,869,T1-4,3.7 × 106 fold,"{""unit"": ""fold""}"
12,S1873506113001116-1204,4,MeasuredEntity,750,759,T3-4,BC1 cells,"{""HasQuantity"": ""T1-4""}"
13,S1873506113001116-1204,4,Qualifier,870,878,T4-4,increase,"{""Qualifies"": ""T1-4""}"
14,S1873506113001116-1204,5,Quantity,893,898,T1-5,> 99%,"{""mods"": [""IsRange""], ""unit"": ""%""}"
15,S1873506113001116-1204,5,MeasuredProperty,918,927,T4-5,TRA-1–60+,"{""HasQuantity"": ""T1-5""}"
16,S1873506113001116-1204,5,MeasuredEntity,906,911,T3-5,cells,"{""HasProperty"": ""T4-5""}"
17,S1873506113001116-1204,5,Qualifier,928,945,T5-5,after 13 passages,"{""Qualifies"": ""T4-5""}"
18,S1873506113001116-1204,6,Quantity,934,936,T1-6,13,"{""mods"": [""IsCount""]}"
19,S1873506113001116-1204,6,MeasuredEntity,937,945,T2-6,passages,"{""HasQuantity"": ""T1-6""}"
20,S1873506113001116-1204,7,Quantity,1208,1220,T1-7,46.8% ± 1.6%,"{""mods"": [""HasTolerance""], ""unit"": ""%""}"
21,S1873506113001116-1204,7,MeasuredProperty,1243,1258,T3-7,CD34+CD45+ HPCs,"{""HasQuantity"": ""T1-7""}"
22,S1873506113001116-1204,7,MeasuredEntity,1228,1233,T2-7,cells,"{""HasProperty"": ""T3-7""}"
23,S1873506113001116-1204,8,Quantity,1383,1390,T1-8,one-day,"{""unit"": ""day""}"
24,S1873506113001116-1204,8,MeasuredProperty,1391,1400,T3-8,treatment,"{""HasQuantity"": ""T1-8""}"
25,S1873506113001116-1204,8,MeasuredEntity,1298,1321,T5-8,undifferentiated hiPSCs,"{""HasProperty"": ""T3-8""}"
26,S1873506113001116-1204,8,Qualifier,1401,1410,T4-8,of Y27632,"{""Qualifies"": ""T3-8""}"
0,S0378383912000130-3745,1,Quantity,8,14,T1-1,8.5 mm,"{""unit"": ""mm""}"
1,S0378383912000130-3745,1,MeasuredEntity,15,20,T2-1,beach,"{""HasQuantity"": ""T1-1""}"
2,S0378383912000130-3745,2,Quantity,79,86,T1-2,1980 mm,"{""unit"": ""mm""}"
3,S0378383912000130-3745,2,MeasuredProperty,75,76,T3-2,x,"{""HasQuantity"": ""T1-2""}"
4,S0378383912000130-3745,2,MeasuredEntity,25,34,T4-2,modelling,"{""HasProperty"": ""T3-2""}"
5,S0378383912000130-3745,3,Quantity,101,108,T1-3,2780 mm,"{""unit"": ""mm""}"
6,S0378383912000130-3745,3,MeasuredProperty,97,98,T2-3,x,"{""HasQuantity"": ""T1-3""}"
7,S0378383912000130-3745,3,MeasuredEntity,25,34,T4-3,modelling,"{""HasProperty"": ""T2-3""}"
0,S0378383912000130-3601,1,Quantity,355,374,T1-1,two beach materials,"{""unit"": ""beach materials""}"
1,S0378383912000130-3601,1,MeasuredProperty,346,354,T3-1,involved,"{""HasQuantity"": ""T1-1""}"
2,S0378383912000130-3601,1,MeasuredEntity,334,345,T4-1,experiments,"{""HasProperty"": ""T3-1""}"
3,S0378383912000130-3601,2,Quantity,410,427,T1-2,1.5 mm and 8.5 mm,"{""mods"": [""IsList""], ""unit"": ""mm""}"
4,S0378383912000130-3601,2,MeasuredProperty,380,406,T3-2,nominal sediment diameters,"{""HasQuantity"": ""T1-2""}"
5,S0378383912000130-3601,2,MeasuredEntity,359,374,T4-2,beach materials,"{""HasProperty"": ""T3-2""}"
6,S0378383912000130-3601,3,Quantity,531,537,T1-3,600 mm,"{""unit"": ""mm""}"
7,S0378383912000130-3601,3,MeasuredProperty,494,513,T3-3,initial water depth,"{""HasQuantity"": ""T1-3""}"
8,S0378383912000130-3601,3,MeasuredEntity,521,530,T4-3,reservoir,"{""HasProperty"": ""T3-3""}"
9,S0378383912000130-3601,4,Quantity,579,585,T1-4,1.5 mm,"{""unit"": ""mm""}"
10,S0378383912000130-3601,4,MeasuredEntity,586,591,T3-4,beach,"{""HasQuantity"": ""T1-4""}"
11,S0378383912000130-3601,5,Quantity,633,639,T1-5,8.5 mm,"{""unit"": ""mm""}"
12,S0378383912000130-3601,5,MeasuredEntity,640,645,T3-5,beach,"{""HasQuantity"": ""T1-5""}"
13,S0378383912000130-3601,6,Quantity,673,678,T1-6,62 mm,"{""unit"": ""mm""}"
14,S0378383912000130-3601,6,MeasuredProperty,664,669,T4-6,level,"{""HasQuantity"": ""T1-6""}"
15,S0378383912000130-3601,6,MeasuredEntity,658,663,T3-6,water,"{""HasProperty"": ""T4-6""}"
16,S0378383912000130-3601,6,Qualifier,679,700,T5-6,in front of the beach,"{""Qualifies"": ""T1-6""}"
17,S0378383912000130-3601,7,Quantity,742,747,T1-7,62 mm,"{""unit"": ""mm""}"
18,S0378383912000130-3601,7,MeasuredProperty,733,738,T4-7,level,"{""HasQuantity"": ""T1-7""}"
19,S0378383912000130-3601,7,MeasuredEntity,721,732,T3-7,groundwater,"{""HasProperty"": ""T4-7""}"
20,S0378383912000130-3601,7,Qualifier,748,764,T5-7,within the beach,"{""Qualifies"": ""T4-7""}"
21,S0378383912000130-3601,8,Quantity,918,922,T1-8,1:10,
22,S0378383912000130-3601,8,MeasuredProperty,895,900,T2-8,slope,"{""HasQuantity"": ""T1-8""}"
23,S0378383912000130-3601,8,MeasuredEntity,908,913,T3-8,beach,"{""HasProperty"": ""T2-8""}"
0,S0378112713005288-1948,1,Quantity,249,252,T1-1,4.1,
1,S0378112713005288-1948,1,MeasuredProperty,237,246,T2-1,"F(3, 8.9)","{""HasQuantity"": ""T1-1""}"
2,S0378112713005288-1948,1,MeasuredEntity,182,203,T4-1,significant variation,"{""HasProperty"": ""T2-1""}"
3,S0378112713005288-1948,1,Qualifier,207,235,T3-1,total regeneration densities,"{""Qualifies"": ""T4-1""}"
4,S0378112713005288-1948,2,Quantity,258,262,T1-2,0.03,
5,S0378112713005288-1948,2,MeasuredProperty,254,255,T3-2,p,"{""HasQuantity"": ""T1-2""}"
6,S0378112713005288-1948,2,MeasuredEntity,182,235,T4-2,significant variation in total regeneration densities,"{""HasProperty"": ""T3-2""}"
7,S0378112713005288-1948,3,Quantity,265,268,T1-3,20%,"{""unit"": ""%""}"
8,S0378112713005288-1948,3,MeasuredProperty,312,354,T4-3,variation between the different site types,"{""HasQuantity"": ""T1-3""}"
9,S0378112713005288-1948,3,MeasuredEntity,276,300,T3-3,total observed variation,"{""HasProperty"": ""T4-3""}"
10,S0378112713005288-1948,4,Quantity,483,489,T1-4,< 0.01,"{""mods"": [""IsRange""]}"
11,S0378112713005288-1948,4,MeasuredProperty,481,482,T2-4,p,"{""HasQuantity"": ""T1-4""}"
12,S0378112713005288-1948,4,MeasuredEntity,424,445,T4-4,significantly greater,"{""HasProperty"": ""T2-4""}"
13,S0378112713005288-1948,5,Quantity,766,770,T1-5,1.75,
14,S0378112713005288-1948,5,MeasuredProperty,753,763,T3-5,"F(1, 3.95)","{""HasQuantity"": ""T1-5""}"
15,S0378112713005288-1948,5,MeasuredEntity,649,700,T2-5,No significant difference in regeneration densities,"{""HasProperty"": ""T3-5""}"
16,S0378112713005288-1948,6,Quantity,776,780,T1-6,n.s.,
17,S0378112713005288-1948,6,MeasuredProperty,772,773,T4-6,p,"{""HasQuantity"": ""T1-6""}"
18,S0378112713005288-1948,6,MeasuredEntity,649,700,T3-6,No significant difference in regeneration densities,"{""HasProperty"": ""T4-6""}"
0,S016412121300188X-5038,1,Quantity,224,229,T1-1,three,"{""mods"": [""IsCount""]}"
1,S016412121300188X-5038,1,MeasuredEntity,230,242,T2-1,case studies,"{""HasQuantity"": ""T1-1""}"
0,S0012821X12004384-1249,1,Quantity,19,45,T2-1,57°44’8.47”N; 1°50’26.59”E,
1,S0012821X12004384-1249,1,MeasuredEntity,0,17,T1-1,Borehole 22/10a-4,"{""HasQuantity"": ""T2-1""}"
2,S0012821X12004384-1249,2,Quantity,502,523,T11-2,from 2605 m to 2634 m,"{""mods"": [""IsRange""], ""unit"": ""m""}"
3,S0012821X12004384-1249,2,MeasuredProperty,525,535,T21-2,core depth,"{""HasQuantity"": ""T11-2""}"
4,S0012821X12004384-1249,2,MeasuredEntity,456,475,T41-2,section of 22/10a-4,"{""HasProperty"": ""T21-2""}"
5,S0012821X12004384-1249,3,Quantity,698,709,T32-3,2609–2613 m,"{""mods"": [""IsRange""], ""unit"": ""m""}"
6,S0012821X12004384-1249,3,MeasuredProperty,724,748,T62-3,becomes finely laminated,"{""HasQuantity"": ""T32-3""}"
7,S0012821X12004384-1249,3,MeasuredEntity,710,723,T52-3,the claystone,"{""HasProperty"": ""T62-3""}"
8,S0012821X12004384-1249,4,Quantity,797,824,T93-4,ranging from 1 to 25 per mm,"{""mods"": [""IsRange""], ""unit"": ""mm""}"
9,S0012821X12004384-1249,4,MeasuredEntity,754,796,T83-4,alternately pale and dark laminae couplets,"{""HasQuantity"": ""T93-4""}"
10,S0012821X12004384-1249,5,Quantity,974,985,T1-5,26 horizons,"{""unit"": ""horizons""}"
11,S0012821X12004384-1249,5,MeasuredEntity,1001,1005,T3-5,core,"{""HasQuantity"": ""T1-5""}"
12,S0012821X12004384-1249,6,Quantity,1010,1039,T1-6,approximately 13 pairs per mm,"{""mods"": [""IsApproximate""], ""unit"": ""pairs per mm""}"
13,S0012821X12004384-1249,6,MeasuredEntity,950,957,T3-6,Laminae,"{""HasQuantity"": ""T1-6""}"
0,S016412121300188X-4937,1,Quantity,558,561,T1-1,two,"{""mods"": [""IsCount""]}"
1,S016412121300188X-4937,1,MeasuredEntity,562,579,T3-1,coherent clusters,"{""HasQuantity"": ""T1-1""}"
2,S016412121300188X-4937,2,Quantity,614,624,T1-2,around 10%,"{""mods"": [""IsApproximate""], ""unit"": ""%""}"
3,S016412121300188X-4937,2,MeasuredProperty,562,579,T2-2,coherent clusters,"{""HasQuantity"": ""T1-2""}"
4,S016412121300188X-4937,2,MeasuredEntity,632,636,T5-2,code,"{""HasProperty"": ""T2-2""}"
5,S016412121300188X-4937,2,Qualifier,599,606,T3-2,smaller,"{""Qualifies"": ""T2-2""}"
6,S016412121300188X-4937,3,Quantity,657,667,T1-3,around 40%,"{""mods"": [""IsApproximate""], ""unit"": ""%""}"
7,S016412121300188X-4937,3,MeasuredProperty,562,579,T2-3,coherent clusters,"{""HasQuantity"": ""T1-3""}"
8,S016412121300188X-4937,3,MeasuredEntity,675,679,T4-3,code,"{""HasProperty"": ""T2-3""}"
9,S016412121300188X-4937,3,Qualifier,647,653,T3-3,larger,"{""Qualifies"": ""T2-3""}"
0,S0927024813002420-1202,1,Quantity,273,283,T1-1,60% higher,
1,S0927024813002420-1202,1,MeasuredProperty,284,297,T3-1,photocurrents,"{""HasQuantity"": ""T1-1""}"
2,S0927024813002420-1202,1,MeasuredEntity,230,263,T2-1,co-deposition of blended mixtures,"{""HasProperty"": ""T3-1""}"
3,S0927024813002420-1202,1,Qualifier,298,368,T4-1,than in thickness-optimized PTh/C60 planar heterojunction counterparts,"{""Qualifies"": ""T1-1""}"
4,S0927024813002420-1202,2,Quantity,472,486,T1-2,as much as 80%,"{""mods"": [""IsRange""]}"
5,S0927024813002420-1202,2,MeasuredProperty,441,468,T3-2,power conversion efficiency,"{""HasQuantity"": ""T1-2""}"
6,S0927024813002420-1202,2,MeasuredEntity,405,412,T2-2,devices,"{""HasProperty"": ""T3-2""}"
7,S0927024813002420-1202,2,Qualifier,426,434,T4-2,improved,"{""Qualifies"": ""T1-2""}"
0,S0038071713001971-1388,1,Quantity,178,181,T1-1,55%,"{""unit"": ""%""}"
1,S0038071713001971-1388,1,MeasuredProperty,213,271,T4-1,stimulated (encouraged) by a certain set of soil variables,"{""HasQuantity"": ""T1-1""}"
2,S0038071713001971-1388,1,MeasuredEntity,186,207,T2-1,OTUs in healthy soils,"{""HasProperty"": ""T4-1""}"
3,S0038071713001971-1388,2,Quantity,292,295,T1-2,63%,"{""unit"": ""%""}"
4,S0038071713001971-1388,2,MeasuredProperty,315,343,T5-2,were inhibited (discouraged),"{""HasQuantity"": ""T1-2""}"
5,S0038071713001971-1388,2,MeasuredEntity,186,190,T3-2,OTUs,"{""HasProperty"": ""T5-2""}"
6,S0038071713001971-1388,2,Qualifier,297,314,T4-2,in diseased soils,"{""Qualifies"": ""T3-2""}"
7,S0038071713001971-1388,2,Qualifier,237,271,T6-2,by a certain set of soil variables,"{""Qualifies"": ""T5-2""}"
0,S0022399913003358-943,1,Quantity,1464,1480,T1-1,530 participants,"{""unit"": ""participants""}"
1,S0022399913003358-943,1,MeasuredEntity,1438,1460,T2-1,cross-sectional sample,"{""HasQuantity"": ""T1-1""}"
2,S0022399913003358-943,2,Quantity,1482,1485,T1-2,50%,"{""unit"": ""%""}"
3,S0022399913003358-943,2,MeasuredProperty,1486,1507,T3-2,with chronic tinnitus,"{""HasQuantity"": ""T1-2""}"
4,S0022399913003358-943,2,MeasuredEntity,1464,1480,T2-2,530 participants,"{""HasProperty"": ""T3-2""}"
0,S1873506113001116-710,1,Quantity,103,113,T1-1,after 48 h,"{""unit"": ""h""}"
1,S1873506113001116-710,1,MeasuredProperty,66,88,T3-1,Light microscope image,"{""HasQuantity"": ""T1-1""}"
2,S1873506113001116-710,1,MeasuredEntity,92,102,T2-1,aggregates,"{""HasProperty"": ""T3-1""}"
3,S1873506113001116-710,1,Qualifier,114,192,T4-1,post-inoculation of single suspension BC1 cells in ultra-low attachment plates,"{""Qualifies"": ""T1-1""}"
4,S1873506113001116-710,2,Quantity,273,284,T1-2,13 passages,"{""unit"": ""passages""}"
5,S1873506113001116-710,2,MeasuredProperty,231,268,T3-2,expanded in static suspension culture,"{""HasQuantity"": ""T1-2""}"
6,S1873506113001116-710,2,MeasuredEntity,198,229,T2-2,BC1 cells cultured in E8 medium,"{""HasProperty"": ""T3-2""}"
7,S1873506113001116-710,3,Quantity,286,293,T1-3,45 days,
8,S1873506113001116-710,3,MeasuredEntity,273,284,T2-3,13 passages,"{""HasQuantity"": ""T1-3""}"
9,S1873506113001116-710,4,Quantity,299,300,T1-4,3,
10,S1873506113001116-710,4,MeasuredProperty,295,296,T2-4,n,"{""HasQuantity"": ""T1-4""}"
11,S1873506113001116-710,4,MeasuredEntity,273,284,T3-4,13 passages,"{""HasProperty"": ""T2-4""}"
12,S1873506113001116-710,5,Quantity,333,334,T1-5,3,
13,S1873506113001116-710,5,MeasuredProperty,329,330,T3-5,n,"{""HasQuantity"": ""T1-5""}"
14,S1873506113001116-710,5,MeasuredEntity,307,327,T2-5,Flow cytometry plots,"{""HasProperty"": ""T3-5""}"
15,S1873506113001116-710,6,Quantity,369,386,T1-6,after 13 passages,"{""mods"": [""IsRange""], ""unit"": ""passages""}"
16,S1873506113001116-710,6,MeasuredEntity,390,407,T2-6,static suspension,"{""HasQuantity"": ""T1-6""}"
17,S1873506113001116-710,7,Quantity,626,632,T1-7,200 μm,"{""unit"": ""μm""}"
18,S1873506113001116-710,7,MeasuredEntity,613,623,T2-7,Scale bars,"{""HasQuantity"": ""T1-7""}"
0,S0012821X12004384-1148,1,Quantity,82,88,T1-1,∼56 Ma,"{""mods"": [""IsApproximate""], ""unit"": ""Ma""}"
1,S0012821X12004384-1148,1,MeasuredEntity,42,80,T3-1,Paleocene–Eocene thermal maximum (PETM,"{""HasQuantity"": ""T1-1""}"
2,S0012821X12004384-1148,2,Quantity,286,291,T1-2,54 °N,"{""unit"": ""°N""}"
3,S0012821X12004384-1148,2,MeasuredProperty,272,285,T3-2,paleolatitude,"{""HasQuantity"": ""T1-2""}"
4,S0012821X12004384-1148,2,MeasuredEntity,187,270,T4-2,"North Atlantic igneous province (NAIP), the Kilda Basin, and the northern rain belt","{""HasProperty"": ""T3-2""}"
5,S0012821X12004384-1148,2,Qualifier,293,308,T5-2,during the PETM,"{""Qualifies"": ""T3-2""}"
6,S0012821X12004384-1148,3,Quantity,937,953,T11-3,before (103 yrs),"{""mods"": [""IsRange""], ""unit"": ""yrs""}"
7,S0012821X12004384-1148,3,MeasuredEntity,880,931,T2-3,halocline stratification and terrigenous deposition,"{""HasQuantity"": ""T11-3""}"
0,S0378383911001669-1112,1,Quantity,25,28,T1-1,six,"{""mods"": [""IsCount""]}"
1,S0378383911001669-1112,1,MeasuredEntity,29,50,T2-1,measurement locations,"{""HasQuantity"": ""T1-1""}"
2,S0378383911001669-1112,2,Quantity,59,65,T1-2,1.3 mm,"{""unit"": ""mm""}"
3,S0378383911001669-1112,2,MeasuredEntity,146,153,T3-2,beaches,"{""HasQuantity"": ""T1-2""}"
4,S0378383911001669-1112,2,Qualifier,66,76,T4-2,sand-rough,"{""Qualifies"": ""T3-2""}"
5,S0378383911001669-1112,3,Quantity,86,92,T1-3,5.4 mm,"{""unit"": ""mm""}"
6,S0378383911001669-1112,3,MeasuredEntity,146,153,T3-3,beaches,"{""HasQuantity"": ""T1-3""}"
7,S0378383911001669-1112,3,Qualifier,93,105,T4-3,gravel-rough,"{""Qualifies"": ""T3-3""}"
8,S0378383911001669-1112,4,Quantity,119,125,T1-4,8.4 mm,"{""unit"": ""mm""}"
9,S0378383911001669-1112,4,MeasuredEntity,146,153,T3-4,beaches,"{""HasQuantity"": ""T1-4""}"
10,S0378383911001669-1112,4,Qualifier,126,138,T4-4,gravel-rough,"{""Qualifies"": ""T3-4""}"
0,S2213158213000302-1597,1,Quantity,152,174,T1-1,between 100 and 200 ms,"{""mods"": [""IsRange""], ""unit"": ""ms""}"
1,S2213158213000302-1597,1,MeasuredEntity,124,138,T3-1,MMNm component,"{""HasQuantity"": ""T1-1""}"
0,S0032386113005454-2055,1,Quantity,193,197,T1-1,1 Hz,"{""unit"": ""Hz""}"
1,S0032386113005454-2055,1,MeasuredEntity,167,189,T2-1,double-cantilever mode,"{""HasQuantity"": ""T1-1""}"
